, 11
150, 140, 11
150, 6, 11
150, 156, 11
150, 35, 11
150, 117, 11
150, 78, 11
150, 63, 11
150, 132, 11
150, 21, 11
150, 134, 11
150, 7, 11
150, 164, 11
150, 39, 11
150, 91, 11
150, 93, 11
150, 63, 11
150, 132, 11
150, 13, 11
150, 156, 11
150, 7, 11
150, 140, 11
150, 63, 11
150, 92, 11
150, 93, 11
150, 42, 11
150, 149, 11
150, 7, 11
150, 156, 11
150, 15, 11
150, 110, 11
150, 62, 11
150, 92, 11
150, 109, 11
150, 32, 11
150, 156, 11
150, 7, 11
150, 140, 11
150, 35, 11
150, 113, 11
150, 70, 11
150, 71, 11
150, 120, 11
150, 35, 11
150, 156, 11
150, -7, 11
150, 134, 11
150, 39, 11
150, 113, 11
150, 85, 11
150, 58, 11
150, 125, 11
150, 28, 11
150, 148, 11
150, 7, 11
150, 149, 11
150, 31, 11
150, 106, 11
150, 85, 11
150, 63, 11
150, 132, 11
150, 15, 11
150, 130, 11
150, 7, 11
150, 127, 11
150, 70, 11
150, 84, 11
150, 93, 11
150, 42, 11
150, 164, 11
150, 7, 11
150, 142, 11
150, 15, 11
150, 120, 11
150, 56, 11
150, 92, 11
150, 101, 11
150, 42, 11
150, 142, 11
150, 7, 11
150, 127, 11
150, 39, 11
150, 104, 11
150, 70, 11
150, 71, 11
150, 132, 11
150, 32, 11
150, 156, 11
150, -7, 11
150, 134, 11
150, 35, 11
150, 113, 11
150, 85, 11
150, 63, 11
150, 113, 11
150, 31, 11
150, 134, 11
150, 7, 11
172, 136, 11
172, 39, 11
172, 99, 11
172, 93, 11
172, 45, 11
172, 164, 11
172, 7, 11
172, 127, 11
172, 35, 11
172, 113, 11
172, 93, 11
172, 56, 11
172, 142, 11
172, 7, 11
172, 134, 11
172, 39, 11
172, 97, 11
172, 101, 11
172, 49, 11
172, 148, 11
172, 6, 11
172, 148, 11
172, 70, 11
172, 78, 11
172, 127, 11
172, 21, 11
172, 164, 11
172, 21, 11
172, 113, 11
172, 85, 11
172, 54, 11
172, 164, 11
172, 0, 11
172, 164, 11
172, 49, 11
172, 93, 11
172, 104, 11
172, 31, 11
172, 156, 11
172, 28, 11
172, 120, 11
172, 78, 11
172, 70, 11
172, 134, 11
172, 0, 11
172, 156, 11
172, 49, 11
172, 109, 11
172, 91, 11
172, 46, 11
172, 127, 11
172, 23, 11
172, 117, 11
172, 85, 11
172, 78, 11
172, 127, 11
172, 14, 11
172, 134, 11
172, 46, 11
172, 99, 11
172, 106, 11
172, 42, 11
172, 140, 11
172, 15, 11
172, 123, 11
172, 78, 11
172, 78, 11
172, 140, 11
172, 13, 11
172, 140, 11
172, 42, 11
172, 117, 11
172, 97, 11
172, 46, 11
172, 140, 11
172, 14, 11
172, 134, 11
172, 78, 11
